regime,trajectory_id,teacher_forced_final_l2,autoregressive_final_l2,persistence_final_l2,feedback_ratio,ar_relative_mass_error,ar_signed_mass_drift,ar_accumulated_absolute_mass_change,ar_negative_fraction,ar_negative_mass_fraction,ar_minimum,ar_maximum
high_nu,54,0.008837780552126282,0.06506116048697454,0.7079482042164719,7.361708078542578,0.024473823564485946,0.024473823564485946,0.02712521408983121,0.33935546875,0.006290385288759432,-0.006187798400318703,1.069150328259112
high_nu,55,0.011911792404658858,0.09417555633673912,1.0854487510945956,7.906077703293907,0.06103016614870992,0.06103016614870992,0.06103016614870992,0.065673828125,0.0003490203036879127,-0.0013158667200757201,1.0269930618952354
high_nu,56,0.034789140601094976,0.32018839568647245,1.1208734818436956,9.203687994419576,0.05132646303001291,-0.05132646303001267,0.055443729541253754,0.064697265625,0.0007302390763885101,-0.0055374222719660054,1.1466913017791318
high_nu,57,0.017682778377105243,0.10595322147016327,0.6713398400237325,5.991887655355455,0.06283187215920329,-0.06283187215920329,0.06283187215920329,0.1064453125,0.0014580782440442605,-0.0058512318775322675,0.9015609212006813
high_nu,58,0.01587669575702786,0.082568808759344,0.7616927373511757,5.200629275949607,0.024010971912764648,-0.024010971912764783,0.10440704169961923,0.022216796875,0.00016027776078837277,-0.0006071031649995534,0.5163164680349892
high_nu,59,0.020248270077515475,0.1237385371100007,0.8090554993428414,6.111067100364546,0.0030713043469503226,-0.0030713043469503226,0.00954884191569776,0.00146484375,6.098193391925594e-07,-0.0002432311493116568,1.0818005349365367
high_nu,60,0.024274863810765854,0.1020160753714969,0.8141965873978025,4.2025395555979586,0.1135466399842998,0.1135466399842998,0.11492787707985237,0.0,0.0,0.0006170814010710846,0.7677095915411147
high_nu,61,0.04074172823809171,0.12030652345365637,0.9170181332232396,2.9529067287129735,0.019727730099020863,-0.019727730099021165,0.30600476265876764,0.0,0.0,2.5331359277014354e-05,0.3458346160853125
high_nu,62,0.03705396569008195,0.15337997337500606,0.31283723089490306,4.139367285484925,0.1044976668879557,-0.1044976668879555,0.22288936528485365,0.000732421875,4.5370023925762217e-07,-2.2709461652961616e-05,0.38840484819684407
high_nu,63,0.01563867576976452,0.11576586518711666,0.6579065285910308,7.402536307513703,0.014585853893653149,0.014585853893653149,0.028833977333930377,0.206298828125,0.0040400823779023496,-0.006803863667668206,1.1563121570528299
